ticket_id,customer_id,category,subcategory,description,created_at,sla_due_at,status,assigned_to,resolution_notes
11001,1359,Network,Call Drop,Call Drop issue reported by customer.,2025-10-16 03:00:00,2025-10-19 03:00:00,Closed,Team B,Resolved after investigation.
11002,1910,Network,Call Drop,,2025-10-23 11:00:00,2025-10-24 11:00:00,Open,Team B,
11003,1603,Recharge,,Recharge issue reported by customer.,2026-03-21 03:00:00,2026-03-23 03:00:00,InProgress,Network Ops,
11004,2640,Billing,,Billing issue reported by customer.,2026-04-06 03:00:00,2026-04-09 03:00:00,Closed,Team A,Resolved after investigation.
11005,2213,Network,Slow Data,Slow Data issue reported by customer.,2025-08-09 22:00:00,2025-08-12 22:00:00,Closed,Billing Desk,Resolved after investigation.
11006,2372,Recharge,Recharge Failed,Recharge Failed issue reported by customer.,2026-05-16 11:00:00,2026-05-17 11:00:00,Closed,Team B,Resolved after investigation.
11007,1068,Network,Call Drop,Call Drop issue reported by customer.,2026-06-25 10:00:00,2026-06-27 10:00:00,Closed,Network Ops,Resolved after investigation.
11008,1978,Recharge,Recharge Failed,Recharge Failed issue reported by customer.,2026-01-24 16:00:00,2026-01-27 16:00:00,Closed,KYC Cell,Resolved after investigation.
11009,1811,Network,Slow Data,Slow Data issue reported by customer.,2025-10-28 17:00:00,2025-10-30 17:00:00,Open,Team B,
11010,1557,Recharge,Amount Deducted,Amount Deducted issue reported by customer.,2025-12-04 09:00:00,2025-12-06 09:00:00,Closed,Team A,Resolved after investigation.
11011,2738,KYC,Document Rejected,Document Rejected issue reported by customer.,2026-03-10 10:00:00,2026-03-13 10:00:00,InProgress,KYC Cell,
11012,2778,Roaming,Billing Query,Billing Query issue reported by customer.,2026-03-14 11:00:00,2026-03-15 11:00:00,InProgress,Team B,
11013,2779,KYC,Document Rejected,Document Rejected issue reported by customer.,2026-07-15 00:00:00,2026-07-17 00:00:00,Open,Team A,
11014,1076,Recharge,Amount Deducted,Amount Deducted issue reported by customer.,2026-04-10 00:00:00,2026-04-13 00:00:00,Closed,Network Ops,Resolved after investigation.
11015,2012,Recharge,Recharge Failed,Recharge Failed issue reported by customer.,2026-03-27 07:00:00,2026-03-29 07:00:00,Open,,
11016,2380,SIM,Activation Delay,Activation Delay issue reported by customer.,2026-05-07 19:00:00,2026-05-08 19:00:00,InProgress,Network Ops,
11017,2097,Network,No Signal,No Signal issue reported by customer.,2026-06-16 19:00:00,2026-06-17 19:00:00,Closed,Team C,Resolved after investigation.
11018,2085,Roaming,Billing Query,Billing Query issue reported by customer.,2025-10-09 08:00:00,2025-10-10 08:00:00,Closed,Team C,Resolved after investigation.
11019,2728,Network,Slow Data,Slow Data issue reported by customer.,2025-08-16 09:00:00,2025-08-18 09:00:00,Closed,Billing Desk,Resolved after investigation.
11020,2662,Recharge,Amount Deducted,Amount Deducted issue reported by customer.,2026-04-09 09:00:00,2026-04-12 09:00:00,Closed,Team A,Resolved after investigation.
11021,2427,Billing,Late Fee Dispute,Late Fee Dispute issue reported by customer.,2026-02-19 14:00:00,2026-02-22 14:00:00,Open,Network Ops,
11022,1537,SIM,Replacement Request,,2025-08-18 02:00:00,2025-08-19 02:00:00,Closed,Billing Desk,Resolved after investigation.
11023,1881,SIM,SIM Not Working,SIM Not Working issue reported by customer.,2026-03-02 16:00:00,2026-03-05 16:00:00,InProgress,Team C,
11024,2669,Network,No Signal,No Signal issue reported by customer.,2025-12-10 08:00:00,2025-12-11 08:00:00,Open,KYC Cell,
11025,2122,Recharge,Recharge Failed,Recharge Failed issue reported by customer.,2026-07-15 18:00:00,2026-07-16 18:00:00,InProgress,Network Ops,
11026,1166,Network,No Signal,No Signal issue reported by customer.,2025-12-07 05:00:00,2025-12-08 05:00:00,Closed,Team B,Resolved after investigation.
11027,2433,SIM,SIM Not Working,SIM Not Working issue reported by customer.,2025-10-07 00:00:00,2025-10-08 00:00:00,Open,Team A,
11028,2459,Billing,High Bill,High Bill issue reported by customer.,2025-10-29 16:00:00,2025-11-01 16:00:00,Open,,
11029,1071,Billing,High Bill,,2026-05-27 08:00:00,2026-05-29 08:00:00,Closed,KYC Cell,Resolved after investigation.
11030,2471,Network,No Signal,No Signal issue reported by customer.,2025-12-18 19:00:00,2025-12-20 19:00:00,Open,Team B,
11031,2249,Recharge,Recharge Failed,Recharge Failed issue reported by customer.,2025-12-03 06:00:00,2025-12-04 06:00:00,Closed,Team A,Resolved after investigation.
11032,2711,Roaming,Billing Query,,2025-09-17 10:00:00,2025-09-18 10:00:00,Closed,Team B,Resolved after investigation.
11033,2684,Network,No Signal,No Signal issue reported by customer.,2026-05-15 12:00:00,2026-05-18 12:00:00,Closed,Team A,Resolved after investigation.
11034,1988,KYC,Verification Pending,Verification Pending issue reported by customer.,2026-01-27 18:00:00,2026-01-30 18:00:00,InProgress,Network Ops,
11035,1006,Recharge,Recharge Failed,Recharge Failed issue reported by customer.,2025-09-11 02:00:00,2025-09-12 02:00:00,InProgress,,
11036,1672,Recharge,Recharge Failed,Recharge Failed issue reported by customer.,2026-02-03 22:00:00,2026-02-05 22:00:00,Closed,Team C,Resolved after investigation.
11037,2039,Recharge,Amount Deducted,Amount Deducted issue reported by customer.,2026-03-18 16:00:00,2026-03-21 16:00:00,Closed,KYC Cell,Resolved after investigation.
11038,2679,Billing,GST Query,GST Query issue reported by customer.,2026-06-17 19:00:00,2026-06-20 19:00:00,Closed,Team B,Resolved after investigation.
11039,1582,Network,Call Drop,Call Drop issue reported by customer.,2026-06-29 12:00:00,2026-07-02 12:00:00,Closed,,Resolved after investigation.
