outlet_id,name,city,address,phone
20001,Jio Store Lucknow,Lucknow,"53 Market St, Lucknow",09201774147
20002,ConnectHub Store Kolkata,Kolkata,"79 Market St, Kolkata",04604486286
20003,TeleStore Store Bengaluru,Bengaluru,"316 MG Road, Bengaluru",02972727708
20004,TeleStore Store Jaipur,Jaipur,"167 Market St, Jaipur",01367421876
20005,Vi Store Hyderabad,Hyderabad,"481 Market St, Hyderabad",05023391888
20006,ConnectHub Store Chennai,Chennai,"425 MG Road, Chennai",02535057914
20007,Airtel Store Chennai,Chennai,"426 Market St, Chennai",08929491776
20008,Jio Store Mumbai,Mumbai,"263 Station Rd, Mumbai",04157664792
20009,Vi Store Kolkata,Kolkata,"195 MG Road, Kolkata",07207586613
20010,ConnectHub Store Bengaluru,Bengaluru,"382 Station Rd, Bengaluru",06246527250
20011,Jio Store Delhi,Delhi,"333 Mall Rd, Delhi",06056736948
20012,TeleStore Store Mumbai,Mumbai,"496 Station Rd, Mumbai",09912770619
20013,Vi Store Pune,Pune,"140 Station Rd, Pune",09536812219
20014,Airtel Store Pune,Pune,"22 Market St, Pune",07474138810
20015,Airtel Store Mumbai,Mumbai,"173 MG Road, Mumbai",02333869705
20016,TeleStore Store Jaipur,Jaipur,"293 Station Rd, Jaipur",08704105920
20017,Airtel Store Mumbai,Mumbai,"3 Mall Rd, Mumbai",03756955508
20018,TeleStore Store Kolkata,Kolkata,"450 Mall Rd, Kolkata",07821418770
20019,Airtel Store Bengaluru,Bengaluru,"62 Station Rd, Bengaluru",02570771942
20020,Jio Store Kolkata,Kolkata,"303 MG Road, Kolkata",08767618151
20021,ConnectHub Store Delhi,Delhi,"253 Mall Rd, Delhi",03230422506
20022,Vi Store Mumbai,Mumbai,"91 MG Road, Mumbai",07586200102
20023,ConnectHub Store Hyderabad,Hyderabad,"172 MG Road, Hyderabad",04640657377
20024,ConnectHub Store Delhi,Delhi,"354 MG Road, Delhi",05670867753
20025,TeleStore Store Jaipur,Jaipur,"471 Station Rd, Jaipur",05196429249
20026,TeleStore Store Hyderabad,Hyderabad,"18 Station Rd, Hyderabad",06986586389
20027,Jio Store Pune,Pune,"169 Mall Rd, Pune",04400563776
20028,Jio Store Ahmedabad,Ahmedabad,"446 Market St, Ahmedabad",06735685946
20029,Jio Store Hyderabad,Hyderabad,"457 Mall Rd, Hyderabad",05328495030
20030,TeleStore Store Kolkata,Kolkata,"157 Station Rd, Kolkata",06237511789
20031,Vi Store Kolkata,Kolkata,"324 Station Rd, Kolkata",07273352030
20032,Vi Store Chennai,Chennai,"170 Mall Rd, Chennai",06434749626
20033,TeleStore Store Jaipur,Jaipur,"246 Station Rd, Jaipur",02028367093
20034,TeleStore Store Jaipur,Jaipur,"294 Market St, Jaipur",08006081736
20035,ConnectHub Store Lucknow,Lucknow,"22 MG Road, Lucknow",07424311585
20036,Vi Store Ahmedabad,Ahmedabad,"2 Market St, Ahmedabad",05545636213
20037,Airtel Store Chennai,Chennai,"263 Station Rd, Chennai",09588667943
20038,Airtel Store Mumbai,Mumbai,"481 Station Rd, Mumbai",03849349246
